"Date","Open","High","Low","Close","MA ‌ma‌ (50,ma,0)","MA ‌ma‌ (20,ma,0)","MACD ‌macd‌ (12,26,9)","Signal ‌macd‌ (12,26,9)","‌macd‌ (12,26,9)_hist"
"Wed Oct 04 2023 10:18:00 GMT+0530 (India Standard Time)","213.96","213.96","213.40","213.76","216.46","215.43","-0.77","-0.56","-0.20"
"Wed Oct 04 2023 10:21:00 GMT+0530 (India Standard Time)","213.86","214.30","213.80","214.06","216.40","215.33","-0.76","-0.60","-0.16"
"Wed Oct 04 2023 10:24:00 GMT+0530 (India Standard Time)","213.96","214.35","213.85","214.16","216.35","215.25","-0.74","-0.63","-0.11"
"Wed Oct 04 2023 10:27:00 GMT+0530 (India Standard Time)","214.06","214.35","213.80","214.09","216.30","215.13","-0.73","-0.65","-0.08"
"Wed Oct 04 2023 10:30:00 GMT+0530 (India Standard Time)","214.07","214.25","213.75","214.03","216.24","214.98","-0.71","-0.66","-0.05"
"Wed Oct 04 2023 10:33:00 GMT+0530 (India Standard Time)","214.05","214.55","213.90","214.19","216.19","214.86","-0.67","-0.66","-0.01"
"Wed Oct 04 2023 10:36:00 GMT+0530 (India Standard Time)","214.12","214.65","214.12","214.41","216.14","214.76","-0.62","-0.66","0.03"
"Wed Oct 04 2023 10:39:00 GMT+0530 (India Standard Time)","214.27","214.75","214.10","214.48","216.09","214.68","-0.57","-0.64","0.07"
"Wed Oct 04 2023 10:42:00 GMT+0530 (India Standard Time)","214.37","214.70","214.20","214.49","216.05","214.62","-0.52","-0.61","0.10"
"Wed Oct 04 2023 10:45:00 GMT+0530 (India Standard Time)","214.43","214.55","214.05","214.35","216.00","214.56","-0.48","-0.59","0.10"
"Wed Oct 04 2023 10:48:00 GMT+0530 (India Standard Time)","214.39","214.70","214.35","214.55","215.95","214.51","-0.44","-0.56","0.12"
"Wed Oct 04 2023 10:51:00 GMT+0530 (India Standard Time)","214.47","214.60","214.25","214.41","215.90","214.43","-0.41","-0.53","0.12"
"Wed Oct 04 2023 10:54:00 GMT+0530 (India Standard Time)","214.44","214.55","214.10","214.34","215.85","214.35","-0.38","-0.50","0.12"
"Wed Oct 04 2023 10:57:00 GMT+0530 (India Standard Time)","214.39","214.60","214.05","214.36","215.80","214.28","-0.36","-0.47","0.11"
"Wed Oct 04 2023 11:00:00 GMT+0530 (India Standard Time)","214.38","214.75","214.35","214.54","215.76","214.26","-0.32","-0.44","0.12"
"Wed Oct 04 2023 11:03:00 GMT+0530 (India Standard Time)","214.46","214.65","214.35","214.54","215.71","214.25","-0.29","-0.41","0.12"
"Wed Oct 04 2023 11:06:00 GMT+0530 (India Standard Time)","214.50","214.60","214.15","214.38","215.66","214.25","-0.27","-0.38","0.11"
"Wed Oct 04 2023 11:09:00 GMT+0530 (India Standard Time)","214.44","214.45","213.85","214.17","215.60","214.25","-0.27","-0.36","0.09"
"Wed Oct 04 2023 11:12:00 GMT+0530 (India Standard Time)","214.31","214.31","213.55","213.86","215.54","214.24","-0.29","-0.35","0.05"
"Wed Oct 04 2023 11:15:00 GMT+0530 (India Standard Time)","214.08","214.15","213.60","213.89","215.46","214.25","-0.31","-0.34","0.03"
"Wed Oct 04 2023 11:18:00 GMT+0530 (India Standard Time)","213.99","214.20","213.99","214.09","215.39","214.27","-0.30","-0.33","0.03"
"Wed Oct 04 2023 11:21:00 GMT+0530 (India Standard Time)","214.04","214.05","213.70","213.91","215.31","214.26","-0.30","-0.32","0.03"
"Wed Oct 04 2023 11:24:00 GMT+0530 (India Standard Time)","213.97","213.97","213.40","213.71","215.23","214.24","-0.31","-0.32","0.01"
"Wed Oct 04 2023 11:27:00 GMT+0530 (India Standard Time)","213.84","213.84","213.45","213.55","215.15","214.21","-0.33","-0.32","-0.01"
"Wed Oct 04 2023 11:30:00 GMT+0530 (India Standard Time)","213.70","213.70","213.00","213.35","215.06","214.18","-0.36","-0.33","-0.03"
"Wed Oct 04 2023 11:33:00 GMT+0530 (India Standard Time)","213.52","213.70","213.30","213.47","214.98","214.14","-0.37","-0.34","-0.03"
"Wed Oct 04 2023 11:36:00 GMT+0530 (India Standard Time)","213.50","213.55","213.35","213.48","214.89","214.10","-0.37","-0.35","-0.03"
"Wed Oct 04 2023 11:39:00 GMT+0530 (India Standard Time)","213.49","213.55","213.10","213.30","214.79","214.04","-0.38","-0.35","-0.03"
"Wed Oct 04 2023 11:42:00 GMT+0530 (India Standard Time)","213.39","213.39","212.75","212.93","214.69","213.96","-0.42","-0.37","-0.05"
"Wed Oct 04 2023 11:45:00 GMT+0530 (India Standard Time)","213.16","213.16","212.50","212.70","214.61","213.88","-0.46","-0.39","-0.07"
"Wed Oct 04 2023 11:48:00 GMT+0530 (India Standard Time)","212.93","212.93","212.55","212.69","214.54","213.78","-0.49","-0.41","-0.08"
"Wed Oct 04 2023 11:51:00 GMT+0530 (India Standard Time)","212.81","213.25","212.50","212.79","214.48","213.70","-0.49","-0.42","-0.07"
"Wed Oct 04 2023 11:54:00 GMT+0530 (India Standard Time)","212.80","212.80","212.10","212.51","214.41","213.61","-0.52","-0.44","-0.07"
"Wed Oct 04 2023 11:57:00 GMT+0530 (India Standard Time)","212.66","212.66","212.05","212.34","214.33","213.51","-0.54","-0.46","-0.08"
"Wed Oct 04 2023 12:00:00 GMT+0530 (India Standard Time)","212.50","212.50","211.65","212.20","214.23","213.39","-0.57","-0.48","-0.08"
"Wed Oct 04 2023 12:03:00 GMT+0530 (India Standard Time)","212.35","212.90","212.35","212.57","214.15","213.29","-0.55","-0.50","-0.05"
